episode,outcome,train_unit_count,train_worker_count,noop_count,max_noop_streak,ticks
0,loss,14,0,2669,280,3748
1,loss,12,0,2033,249,3309
2,loss,15,0,2949,249,3873
3,loss,12,0,2356,285,3141
4,loss,12,0,2365,371,3045
5,loss,15,0,3181,432,4072
6,loss,17,0,3139,410,4431
7,loss,15,0,3019,333,3951
8,loss,13,0,2255,342,3380
9,loss,14,0,2704,391,3541
10,loss,17,0,3266,356,4256
11,loss,14,0,2501,249,3558
12,loss,15,0,2787,357,3757
13,loss,11,0,2366,331,3275
14,loss,14,0,2751,380,3693
15,loss,12,0,2149,249,3152
16,loss,11,0,2336,375,3089
17,loss,13,0,2673,351,3425
18,loss,14,0,2872,332,3630
19,loss,11,0,2135,393,2947
20,loss,14,0,2342,283,3606
21,loss,12,0,2280,332,3217
22,loss,13,0,2639,383,3283
23,loss,16,0,2968,318,3969
24,loss,15,0,3111,345,3958
25,loss,12,0,2261,265,3074
26,loss,14,0,2608,295,3445
27,loss,13,0,2447,354,3254
28,loss,13,0,2576,350,3260
29,loss,15,0,2709,344,3744
30,loss,12,0,2402,426,3076
31,loss,14,0,2482,333,3643
32,loss,12,0,2218,370,3041
33,loss,15,0,3002,396,3796
34,loss,12,0,2281,342,2992
35,loss,14,0,2666,267,3661
36,loss,13,0,2667,423,3435
37,loss,12,0,2251,276,2926
38,loss,14,0,2519,385,3710
39,loss,12,0,2317,388,3172
40,loss,16,0,2678,333,3984
41,loss,14,0,2728,362,3512
42,loss,12,0,2209,308,2958
43,loss,12,0,2192,379,3036
44,loss,13,0,2537,431,3331
45,loss,13,0,2528,359,3414
46,loss,13,0,2545,253,3386
47,loss,13,0,2466,271,3374
48,loss,11,0,2221,256,2990
49,loss,12,0,2517,300,3407
50,loss,11,0,1974,249,2892
51,loss,10,0,2355,396,2972
52,loss,16,0,2892,320,3971
53,loss,13,0,2570,360,3605
54,loss,12,0,2468,346,3427
55,loss,11,0,2102,249,2891
56,loss,14,0,2436,346,3496
57,loss,14,0,2722,410,3560
58,loss,13,0,2627,249,3387
59,loss,12,0,2253,378,3028
60,loss,13,0,2643,405,3305
61,loss,13,0,2609,301,3254
62,loss,11,0,2213,251,2876
63,loss,12,0,2512,440,3090
64,loss,13,0,2327,386,3286
65,loss,15,0,2928,367,3905
66,loss,12,0,2115,257,2967
67,loss,14,0,2559,307,3605
68,loss,14,0,2555,387,3708
69,loss,14,0,2465,406,3572
70,loss,15,0,2905,362,3762
71,loss,14,0,2618,331,3661
72,loss,17,0,3390,389,4413
73,loss,17,0,3055,311,4211
74,loss,13,0,2494,374,3274
75,loss,13,0,2363,388,3288
76,loss,13,0,2459,249,3364
77,loss,13,0,2637,296,3347
78,loss,14,0,2778,327,3651
79,loss,14,0,2606,267,3575
80,loss,12,0,2353,350,3113
81,loss,14,0,2494,307,3480
82,loss,12,0,2316,296,3103
83,loss,15,0,2977,405,3946
84,loss,9,0,1912,348,2450
85,loss,13,0,2332,329,3229
86,loss,14,0,2592,249,3608
87,loss,15,0,2759,321,3721
88,loss,12,0,2119,339,3140
89,loss,13,0,2366,384,3284
90,loss,12,0,2418,388,3038
91,loss,14,0,2539,371,3693
92,loss,13,0,2522,369,3302
93,loss,12,0,2385,390,3202
94,loss,13,0,2295,249,3395
95,loss,13,0,2305,249,3433
96,loss,9,0,2165,358,2735
97,loss,7,0,1977,439,2531
98,loss,13,0,2514,316,3439
99,loss,14,0,2695,314,3529
