episode,outcome,train_unit_count,train_worker_count,noop_count,max_noop_streak,ticks
0,win,10,0,2910,414,3028
1,win,10,0,2843,379,2969
2,win,10,0,2876,402,2992
3,win,9,0,2889,409,3005
4,win,10,0,2866,419,2992
5,win,10,0,2830,383,2956
6,win,9,0,2885,417,2992
7,loss,12,0,3458,662,3686
8,win,10,0,2900,402,3076
9,win,9,0,2893,429,3006
10,win,9,0,2868,398,2975
11,win,9,0,2889,387,3053
12,win,9,0,2850,404,2983
13,win,9,0,2863,408,2992
14,win,9,0,2875,380,2995
15,win,10,0,2831,375,2971
16,win,10,0,2802,378,2917
17,win,9,0,2866,415,3000
18,win,10,0,2894,396,3036
19,win,9,0,2865,413,2992
20,win,9,0,2887,401,3014
21,win,10,0,2909,395,3040
22,win,9,0,2863,402,2983
23,win,9,0,2878,404,2984
24,win,9,0,2890,394,3007
25,win,9,0,2923,405,3040
26,win,9,0,2916,416,3060
27,win,9,0,2872,408,2990
28,win,9,0,2891,387,3011
29,win,9,0,2861,396,2977
30,win,7,0,2951,458,3140
31,win,10,0,2894,408,3001
32,win,9,0,2873,378,3006
33,win,10,0,2897,393,3001
34,win,9,0,2909,410,3021
35,win,10,0,2837,377,2991
36,win,10,0,2902,413,3023
37,win,9,0,2887,401,3003
38,win,9,0,2877,424,3000
39,win,10,0,2793,382,2943
40,win,10,0,2925,417,3025
41,win,13,0,2877,403,3117
42,win,10,0,3036,395,3204
43,win,10,0,2889,421,2999
44,win,9,0,2862,376,2985
45,win,9,0,2796,378,2923
46,win,10,0,2878,381,2988
47,win,10,0,2905,385,3013
48,win,10,0,2948,406,3075
49,win,9,0,2898,404,3121
50,win,9,0,2859,395,2967
51,win,10,0,2900,423,3001
52,win,11,0,2867,419,3078
53,win,9,0,2878,419,3025
54,win,9,0,2937,408,3098
55,win,10,0,2870,392,2971
56,win,9,0,2890,411,3022
57,win,9,0,2795,377,2928
58,win,10,0,2925,389,3028
59,win,10,0,2942,409,3070
60,win,9,0,2875,411,2998
61,win,9,0,2903,407,3028
62,win,9,0,2878,398,3007
63,win,10,0,2913,410,3005
64,win,10,0,2811,376,2950
65,win,10,0,2839,398,2975
66,win,9,0,2895,430,3006
67,win,9,0,2880,389,3056
68,win,9,0,2848,381,2973
69,win,9,0,2883,411,2999
70,win,9,0,2873,420,2993
71,win,9,0,2799,383,2915
72,win,9,0,2866,417,3003
73,win,7,0,2972,457,3137
74,win,10,0,2780,378,2931
75,win,10,0,2902,416,3003
76,win,10,0,2924,411,3074
77,win,7,0,2950,446,3104
78,win,9,0,2846,389,2964
79,win,10,0,2809,378,2925
80,win,10,0,2874,383,2994
81,win,10,0,2883,407,3001
82,win,11,0,2759,403,3021
83,win,9,0,2888,409,3020
84,win,9,0,2873,401,2990
85,win,9,0,2850,379,2973
86,win,10,0,2805,384,2933
87,win,7,0,2896,376,3049
88,win,10,0,2815,384,2953
89,win,7,0,2888,383,3025
90,win,10,0,2859,379,2979
91,win,9,0,2900,412,2997
92,win,10,0,2894,396,3030
93,win,10,0,2843,380,2967
94,win,10,0,2857,395,2972
95,win,9,0,2920,412,3034
96,win,10,0,2850,379,2965
97,win,9,0,2886,400,2991
98,win,10,0,3054,406,3210
99,win,9,0,2932,411,3070
