Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,603
Validator,HIPBLASLT_VERSION,1000-b4e5042b
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,4.3.0.8ebd6c11
GemmTunableOp_float_NN,nn_1_4_384_ld_1_384_1,Default,0.031569
GemmTunableOp_float_TN,tn_96_32_32_ld_32_32_96,Default,0.0226869
GemmTunableOp_float_TN,tn_192_256_64_ld_64_64_192,Default,0.0333894
GemmAndBiasTunableOp_float_TN,tn_81_4_384_ld_384_384_81,Default,0.0297701
GemmAndBiasTunableOp_float_TN,tn_384_4_384_ld_384_384_384,Default,0.0328323
GemmAndBiasTunableOp_float_TN,tn_32_32_64_ld_64_64_32,Default,0.0507792
GemmAndBiasTunableOp_float_TN,tn_64_32_32_ld_32_32_64,Default,0.0508805
GemmAndBiasTunableOp_float_TN,tn_32_32_32_ld_32_32_32,Default,0.0464425
GemmAndBiasTunableOp_float_TN,tn_32_32_5_ld_5_5_32,Default,0.0444546
GemmAndBiasTunableOp_float_TN,tn_64_256_128_ld_128_128_64,Default,0.0500674
GemmAndBiasTunableOp_float_TN,tn_128_256_64_ld_64_64_128,Default,0.0485223
GemmAndBiasTunableOp_float_TN,tn_384_4_118_ld_118_118_384,Default,0.0290958
GemmAndBiasTunableOp_float_TN,tn_64_256_64_ld_64_64_64,Default,0.0412607
GemmAndBiasTunableOp_float_TN,tn_64_256_27_ld_27_27_64,Default,0.0278339
